Sequence,King,Name,Source
21,urn:cite:chron:agids.a16,Leonidas,urn:cts:greekLit:tlg0016.tlg001:7.204
20,urn:cite:chron:agids.a15,Anaxandridas,urn:cts:greekLit:tlg0016.tlg001:7.204
19,urn:cite:chron:agids.a14,Leon,urn:cts:greekLit:tlg0016.tlg001:7.204
18,urn:cite:chron:agids.a13,Eurycratidas,urn:cts:greekLit:tlg0016.tlg001:7.204
17,urn:cite:chron:agids.a12,Anaxander,urn:cts:greekLit:tlg0016.tlg001:7.204
16,urn:cite:chron:agids.a11,Eurycrates,urn:cts:greekLit:tlg0016.tlg001:7.204
15,urn:cite:chron:agids.a10,Polydorus,urn:cts:greekLit:tlg0016.tlg001:7.204
14,urn:cite:chron:agids.a9,Alcamenes,urn:cts:greekLit:tlg0016.tlg001:7.204
13,urn:cite:chron:agids.a8,Telecles,urn:cts:greekLit:tlg0016.tlg001:7.204
12,urn:cite:chron:agids.a7,Archelaus,urn:cts:greekLit:tlg0016.tlg001:7.204
11,urn:cite:chron:agids.a6,Hegesilaus ,urn:cts:greekLit:tlg0016.tlg001:7.204
10,urn:cite:chron:agids.a5,Doryssus,urn:cts:greekLit:tlg0016.tlg001:7.204
9,urn:cite:chron:agids.a4,Leobotes,urn:cts:greekLit:tlg0016.tlg001:7.204
8,urn:cite:chron:agids.a3,Echestratus,urn:cts:greekLit:tlg0016.tlg001:7.204
7,urn:cite:chron:agids.a2,Agis,urn:cts:greekLit:tlg0016.tlg001:7.204
6,urn:cite:chron:agids.a1,Eurysthenes,urn:cts:greekLit:tlg0016.tlg001:7.204
5,urn:cite:chron:agids.5,Aristodemus,urn:cts:greekLit:tlg0016.tlg001:7.204
4,urn:cite:chron:agids.4,Aristomachus,urn:cts:greekLit:tlg0016.tlg001:7.204
3,urn:cite:chron:agids.3,Cleodaeus,urn:cts:greekLit:tlg0016.tlg001:7.204
2,urn:cite:chron:agids:2,Hyllus,urn:cts:greekLit:tlg0016.tlg001:7.204
1,urn:cite:chron:agids:1,Heracles,urn:cts:greekLit:tlg0016.tlg001:7.204
