Archon,Sequence,Label,Source
urn:cite:chron:archon.3,3,Calliades,urn:cts:greekLit:tlg0060.tlg001:11.1
urn:cite:chron:archon.4,4,Adeimantus,urn:cts:greekLit:tlg0060.tlg001:11.41 
urn:cite:chron:archon.5,5,Phaedon,urn:cts:greekLit:tlg0060.tlg001:11.48
urn:cite:chron:archon.6,6,Praxiteles,urn:cts:greekLit:tlg0060.tlg001:12.23
urn:cite:chron:archon.7,7,Dromocleides,urn:cts:greekLit:tlg0060.tlg001:11.50
urn:cite:chron:archon.8,8,Callimachus,urn:cts:greekLit:tlg0060.tlg001:12.07
urn:cite:chron:archon.9,9,Myrichides,urn:cts:greekLit:tlg0060.tlg001:12.29
urn:cite:chron:archon.10,10,Euthynes,urn:cts:greekLit:tlg0060.tlg001:12.58
urn:cite:chron:archon.11,11,Chabrias,urn:cts:greekLit:tlg0060.tlg001:13.2
urn:cite:chron:archon.12,12,Tlepolemus,urn:cts:greekLit:tlg0060.tlg001:11.71
urn:cite:chron:archon.13,13,Lysicrates,urn:cts:greekLit:tlg0060.tlg001:11.88
urn:cite:chron:archon.14,14,Acestorides,urn:cts:greekLit:tlg0060.tlg001:11.51
urn:cite:chron:archon.15,15,Crates,urn:cts:greekLit:tlg0060.tlg001:12.35
urn:cite:chron:archon.16,16,Euthydemus,urn:cts:greekLit:tlg0060.tlg001:12.38
urn:cite:chron:archon.17,17,Astypilus,urn:cts:greekLit:tlg0060.tlg001:12.77
urn:cite:chron:archon.18,18,Diocles,urn:cts:greekLit:tlg0060.tlg001:13.54
urn:cite:chron:archon.19,19,Euthippus,urn:cts:greekLit:tlg0060.tlg001:11.75
urn:cite:chron:archon.20,20,Menon ,urn:cts:greekLit:tlg0060.tlg001:11.52
urn:cite:chron:archon.21,21,Euthydemus,urn:cts:greekLit:tlg0060.tlg001:12.3
urn:cite:chron:archon.22,22,Pedieus,urn:cts:greekLit:tlg0060.tlg001:12.4
urn:cite:chron:archon.23,23,Chares,urn:cts:greekLit:tlg0060.tlg001:11.53
urn:cite:chron:archon.24,24,Philiscus,urn:cts:greekLit:tlg0060.tlg001:12.5
urn:cite:chron:archon.25,25,Praxigerus,urn:cts:greekLit:tlg0060.tlg001:11.54
urn:cite:chron:archon.26,26,Lysanias,urn:cts:greekLit:tlg0060.tlg001:12.24
urn:cite:chron:archon.27,27,Lysimachus,urn:cts:greekLit:tlg0060.tlg001:12.33
urn:cite:chron:archon.28,28,Alcaeus,urn:cts:greekLit:tlg0060.tlg001:12.73
urn:cite:chron:archon.29,29,Theopompus,urn:cts:greekLit:tlg0060.tlg001:13.38
urn:cite:chron:archon.30,30,Xanthippus,urn:cts:greekLit:tlg0060.tlg001:11.27
urn:cite:chron:archon.31,31,Phrasicleides,urn:cts:greekLit:tlg0060.tlg001:11.77
urn:cite:chron:archon.32,32,Demotion,urn:cts:greekLit:tlg0060.tlg001:11.60
