Year,DioCassius,Label1,Consul1,Label2,Consul2,Sequence
57.15,Drusus Caesar Tiberi f.,urn:cite:chron:consul.1,C. Norbanus C. f. Flaccus,urn:cite:chron:consul.36,:consul.45
57.16,Statilius T. f. Sisenna Taurus,urn:cite:chron:consul.2,L. Scribonius L. f. Libo,urn:cite:chron:consul.36,:consul.46
57.17,C. Caecilius C. f. Nepos/Rufus,urn:cite:chron:consul.3,L. Pomponius L. f. Flaccus,urn:cite:chron:consul.36,:consul.47
57.18,Ti. Augusti f. (III),urn:cite:chron:consul.4,Germanicus Caesar Ti. F. (II),urn:cite:chron:consul.36,:consul.48
57.19,M. Iunius M. f. Silanus,urn:cite:chron:consul.5,C. Norbanus C. f. Flaccus/Balbus,urn:cite:chron:consul.36,:consul.49
 57.2O,M. Valerius M. f. Messalla,urn:cite:chron:consul.6,M. Aurelius M. f. Cotta,urn:cite:chron:consul.36,:consul.50
57.21,Ti. Caesar Augusti f. (IV),urn:cite:chron:consul.7,Drusus Iulius Ti. f. (II),urn:cite:chron:consul.36,:consul.51
57.22,Decimus Haterius C. f. Agrippa,urn:cite:chron:consul.8,C. Sulpicius Serg. f. Galba,urn:cite:chron:consul.36,:consul.52
57.23,C. Asinius C. f. Pollio,urn:cite:chron:consul.9,C. Antistius C. f. Vetus,urn:cite:chron:consul.36,:consul.53
57.24,Sergius Cornelius Sergi f. Cethegus,urn:cite:chron:consul.10,L. Visellius Serg f. Varro,urn:cite:chron:consul.36,:consul.54
57.25,M. Asinius C. f. Agrippa,urn:cite:chron:consul.11,Cossus Cornelius Cossi f. Lentulus,urn:cite:chron:consul.36,:consul.55
58.?,Latiaris,urn:cite:chron:consul.12,Sabinus,urn:cite:chron:consul.36,:consul.56
58.17,Gnaeus Domitius,urn:cite:chron:consul.13,Camillus Scribonianus,urn:cite:chron:consul.36,:consul.57
58.2O,Servius Galba,urn:cite:chron:consul.14,Lucius Cornelius,urn:cite:chron:consul.36,:consul.58
58.24,Lucius Bitellius,urn:cite:chron:consul.15,Fabius Persicus,urn:cite:chron:consul.36,:consul.59
58.25,Gaius Gallus,urn:cite:chron:consul.16,Marcus Servilius,urn:cite:chron:consul.36,:consul.60
58.26,Sextus Papinius,urn:cite:chron:consul.17,Quintus Plautus,urn:cite:chron:consul.36,:consul.61
58.27,Gnaeus Proculus,urn:cite:chron:consul.18,Pontius Nigrinus,urn:cite:chron:consul.36,:consul.62
59.38,M. Aquila C. f. Julianus,urn:cite:chron:consul.19,P. Nonius M. f. Asprenas,urn:cite:chron:consul.36,:conul.63
59.39,C. Caesar Germanicus (II),urn:cite:chron:consul.20,L. Apronius L. f. Caesianus,urn:cite:chron:consul.36,:consul.64
59.4O,C. Caesar (III),urn:cite:chron:consul.21,,,
59.41,C. Caesar (IV),urn:cite:chron:consul.22,Cn. Sentius Cn. F. Saturninus,urn:cite:chron:consul.65,
60.12,Tiberius Claudius Nero Germanicus,urn:cite:chron:consul.23,,,
60.1O,Claudius,urn:cite:chron:consul.24,Gaius Largus,urn:cite:chron:consul.66,
60.23,Giaus Crispus,urn:cite:chron:consul.25,Titus Statilius,urn:cite:chron:consul.67,
60.25,Marcus Vinicius,urn:cite:chron:consul.26,Statilius Corvinus,urn:cite:chron:consul.68,
60.27,Valerius Asiaticus,urn:cite:chron:consul.27,Marcus Silanus,urn:cite:chron:consul.69,
61.29,Claudius,urn:cite:chron:consul.28,Lucius Vitellius,urn:cite:chron:consul.70,
63.1,Gaius Telesinus,urn:cite:chron:consul.29,Suestonius Paulinus,urn:cite:chron:consul.71,
63.14,Cluvius Rufus,urn:cite:chron:consul.30,,,
64.17,Gaius Quintus Atticus,urn:cite:chron:consul.31,Gnaeus Caecilius Simplex,urn:cite:chron:consul.72,
65.15,Vespasian,urn:cite:chron:consul.32,Titus,urn:cite:chron:consul.73,
67.12,Ulpius Trajan,urn:cite:chron:consul.33,Acilius Glabrio,urn:cite:chron:consul.74,
67.14,Imp Domitianus XVII,urn:cite:chron:consul.34,Flavius Clemens,urn:cite:chron:consul.75,
67.14,Gaius Valens,urn:cite:chron:consul.35,Gaius Antistius,urn:cite:chron:consul.76,
72.?,Pertinax,urn:cite:chron:consul.36,,,
73.?,Severus,urn:cite:chron:consul.37,24 other consuls during same year,urn:cite:chron:consul.77,
73.?,Salvius Julianus,urn:cite:chron:consul.38,Tarrutenius Paternus,urn:cite:chron:consul.78,
74.8,Falco,urn:cite:chron:consul.39,,,
74.?,Silius Messalla,urn:cite:chron:consul.40,,,
76.15,Plautianus,urn:cite:chron:consul.41,,,
77.5,Coeranus,urn:cite:chron:consul.42,,,
78.11,Julius Paulus,urn:cite:chron:consul.43,,,
79.14,Marius Maximus,urn:cite:chron:consul.44,,,
80.8,Adventus ,,,,
80.19,Sardanapalus,,Alexnader,,
80.21.5,Cassius Dio,,,,
