Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-alexandrians.ruler1,Ptolemy son of Lagus,1,"Aegypto primus regnavit PTOLEMAEUS, Lagi filius, annis XL."
urn:cite:chron:j-alexandrians.ruler2,Ptolemy Philadelphus,2,"Aegypti II, PTOLEMAEUS Philadelphus, annis XXXVIII"
urn:cite:chron:j-alexandrians.ruler3,Ptolemy Euergetes,3,"Aegypti III, PTOLEMAEUS EVERGETES, annis XXVI"
urn:cite:chron:j-alexandrians.ruler4,Ptolemy Philopator,4,"Aegypti PTOLEMAEUS PHILOPATOR, annis XVII"
urn:cite:chron:j-alexandrians.ruler5,Ptolemy Epiphanes,5,"Aegypti V, PTOLEMAEUS EPIPHANES, annis XXIV"
urn:cite:chron:j-alexandrians.ruler6,Ptolemy Philopator,6,"Aegypti VI, PTOLEMAEUS PHILOMETOR, annis XXXV"
urn:cite:chron:j-alexandrians.ruler7,Ptolemy VII (Euergetes 2),7,"Aegypti VII, PTOLEMAEUS EUERGETES, annis XXIX."
urn:cite:chron:j-alexandrians.ruler8,Ptolemy Physcon,8,"Aegypti VIII, PTOLEMAEUS PHYSCON, qui et Soter, annis XVII."
urn:cite:chron:j-alexandrians.ruler9,Ptolemy IX (Alexander),9,"Aegypti IX, PTOLEMAEUS, qui et Alexander, annis X."
urn:cite:chron:j-alexandrians.ruler10,Ptolemy X,10,"Aegypti X, PTOLEMAEUS, qui a matre fuerat ejectus, annis VIII"
urn:cite:chron:j-alexandrians.ruler12,Ptolemy New Dionysus,11,"Aegypti XI, PTOLEMAEUS DIONYSUS, annis XXX"
urn:cite:chron:j-alexandrians.ruler12,Cleopatra,12,"Aegypti XII, CLEOPATRA, annis XXII"
