Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-athenians.ruler1,Cecrops,1,"His temporibus in Acta, quae nunc Attica nuncupatur, primus regnavit CECROPS, qui et DIPHYES, an. L."
urn:cite:chron:j-athenians.ruler2,Cranaus,2,"Atheniensium II, CRANAUS, annis IX."
urn:cite:chron:j-athenians.ruler3,Amphictyon,3,"Atheniensium III, AMPHICTYON, annis X"
urn:cite:chron:j-athenians.ruler4,Erichthonius,4,"Atheniensium IV, ERICHTHONIUS, annis L."
urn:cite:chron:j-athenians.ruler5,Pandion,5,"Atheniensium V, PANDION, annis XL."
urn:cite:chron:j-athenians.ruler6,Ericthius,6,"Atheniensium VI, ERICHTHEUS, annis L."
urn:cite:chron:j-athenians.ruler7,Cecrops II,7,"Atheniensium VII, CECROPS secundus, annis XL."
urn:cite:chron:j-athenians.ruler8,Pandion,8,"Atheniensium VIII, PANDION, annis XXV."
urn:cite:chron:j-athenians.ruler9,Aegeus,9,"Atheniensium IX, AEGEUS, Pandionis filius, annis XLVIII."
urn:cite:chron:j-athenians.ruler10,Theseus,10,"Atheniensium X, THESEUS, annis XXX"
urn:cite:chron:j-athenians.ruler11,Menestheus,11,"Atheniensium XI, MENESTHEUS, [qui et] Peteo, annis XXIII."
urn:cite:chron:j-athenians.ruler12,Demophoon,12,"Menestheus moritur in Melo regrediens a capta Troja, post quem Athenis regnavit Demophoon."
urn:cite:chron:j-athenians.ruler13,Oxyntes,13,"Atheniensium XIII, OXYNTES, annis XII."
urn:cite:chron:j-athenians.ruler14,Aphydas,14,"Post quem XIV, APHIDAS, anno I."
urn:cite:chron:j-athenians.ruler15,Thymoetes,15,"Post quem XV, THYMOETES, annis VIII."
urn:cite:chron:j-athenians.ruler16,Melanthus,16,"Post quem XVI, MELANTHUS, annis XXXVII."
urn:cite:chron:j-athenians.ruler17,Codrus,17,"Atheniensium XVII, CODRUS Melanthi filius, annis XXI."
urn:cite:chron:j-athenians.ruler18,Medon,18,"Post quem, principes, quos mors finiebat: quorum primus MEDON, Codri filius, annis XX"
urn:cite:chron:j-athenians.ruler19,Acastus,19,"Atheniensium II, ACASTUS, annis XXXVI."
urn:cite:chron:j-athenians.ruler20,Archippus,20,"Atheniensium III, ARCHIPPUS, annis XIX."
urn:cite:chron:j-athenians.ruler21,Thersippus,21,"Atheniensium IV, THERSIPPUS, annis XLI."
urn:cite:chron:j-athenians.ruler22,Phorbas,22,"Atheniensium V, PHORBAS, annis XXXI"
urn:cite:chron:j-athenians.ruler23,Megacles,23,"Atheniensium VI, MEGACLES, annis XXX."
urn:cite:chron:j-athenians.ruler24,Diognetus,24,"Atheniensium VII, DIOGNETUS, annis XXVIII"
urn:cite:chron:j-athenians.ruler25,Phereclus,25,"Atheniensium VIII, PHERECLUS, annis XIX."
urn:cite:chron:j-athenians.ruler26,Ariphron,26,"Atheniensium IX, ARIPHRON, annis XX."
urn:cite:chron:j-athenians.ruler27,Thespieus,27,"Atheniensium X, THESPIEUS, annis XXVII."
urn:cite:chron:j-athenians.ruler28,Agamestor,28,"Atheniensium XI, AGAMESTOR, annis XX."
urn:cite:chron:j-athenians.ruler29,Aeschylus,29,"Atheniensium XII, AESCHYLUS, annis XXIII."
urn:cite:chron:j-athenians.ruler30,Alcmaeon,30,"Atheniensium XIII, ALCMAEON, annis II."
urn:cite:chron:j-athenians.ruler31,Charops,31,"XIV Atheniensium, CHAROPS, annis X."
urn:cite:chron:j-athenians.ruler32,Aesimedes,32,"Atheniensium XV, AESIMEDES, annis X"
urn:cite:chron:j-athenians.ruler33,Clidicus,33,"Post quem CLIDICUS , annis X. Annus I."
urn:cite:chron:j-athenians.ruler34,Hippomenes,34,"Post quem, HIPPOMENES, annis X."
urn:cite:chron:j-athenians.ruler35,Leocrates,35,"Atheniensium XVIII, LEOCRATES, annis X."
urn:cite:chron:j-athenians.ruler36,Apsander,36,"Post quem APSANDER, annis X."
urn:cite:chron:j-athenians.ruler37,Eryxias,37,"Atheniensium XX, ERYXIAS, annis X."
