Event,JText,Passage
urn:cite:chron:jevent.14_t1_1_2_e	Sub quo Theglath Phalassar rex Assyriorum magnam partem populi Judaeorum in Assyrios transtulit.	urn:cts:latinLit:stoa0162.stoa005:14.t1.1_2
urn:cite:chron:jevent.14_t1_1_2_l	Arctinus Milesius versificator florentissimus habetur.	urn:cts:latinLit:stoa0162.stoa005:14.t1.1_2
urn:cite:chron:jevent.14_t1_1_4_d	Remus et Romulus generantur, ex Marte et Ilia.	urn:cts:latinLit:stoa0162.stoa005:14.t1.1_4
urn:cite:chron:jevent.14_t1_4_1_	Joel	urn:cts:latinLit:stoa0162.stoa005:14.t1.4_1
urn:cite:chron:jevent.14_t1_4_2_	Isaias	urn:cts:latinLit:stoa0162.stoa005:14.t1.4_2
urn:cite:chron:jevent.14_t1_4_3_	Oded	urn:cts:latinLit:stoa0162.stoa005:14.t1.4_3
urn:cite:chron:jevent.14_t1_6_4_c	Ob Asyli impunitatem magna Romulo multitudo conjungitur.	urn:cts:latinLit:stoa0162.stoa005:14.t1.6_4
urn:cite:chron:jevent.14_t1_6_4_d	Consualibus ludis Sabinae raptae anno ab Urbe condita tertio, et una virginum pulcherrima cunctorum acclamatione rapientium Thalasso duci Romuli decernitur: unde in nuptiarum solemnitatibus 'Thalasso' vulgo clamitant, quod scilicet talis nupta sit quae Thalassum habere mereatur.	urn:cts:latinLit:stoa0162.stoa005:14.t1.6_4
urn:cite:chron:jevent.14_t1_7_4_i	Mare obtinuerunt Milesii annis XVIII	urn:cts:latinLit:stoa0162.stoa005:14.t1.7_4
urn:cite:chron:jevent.14_t1_7_4_i	,	urn:cts:latinLit:stoa0162.stoa005:14.t1.7_4
urn:cite:chron:jevent.14_t1_7_4_i	construxeruntque urbem in Aegypto Naucratim.	urn:cts:latinLit:stoa0162.stoa005:14.t1.7_4
urn:cite:chron:jevent.14_t1_8_2_e	Prima Captivitas Israel.	urn:cts:latinLit:stoa0162.stoa005:14.t1.8_2
urn:cite:chron:jevent.14_t1_8_2_e	Decem tribus gentis Judaeae, quae vocabantur Israel, et erant in parte Samariae victae a Sennacherib , qui et Salmanasar, rege Chaldaeorum, translatae sunt in montes Medorum: regnatumque est in Samaria annis CCL.	urn:cts:latinLit:stoa0162.stoa005:14.t1.8_2
urn:cite:chron:jevent.14_t1_8_2_k	Thales Milesius physicus philosophus agnoscitur.	urn:cts:latinLit:stoa0162.stoa005:14.t1.8_2
urn:cite:chron:jevent.14_t1_8_2_l	Sennacherib rex Chaldaeorum ad custodiendam regionem Judaeae accolas misit Assyrios, qui aemulatores Judaeae legis facti, Samaritae nuncupati sunt: quod in Latinam lingua exprimitur, custodes.	urn:cts:latinLit:stoa0162.stoa005:14.t1.8_2
urn:cite:chron:jevent.15_t1_10_2_b	Apud Hebraeos prophetabant Esaias, Osee.	urn:cts:latinLit:stoa0162.stoa005:15.t1.10_2
urn:cite:chron:jevent.16_t1_30_3_i	Alcmaeon clarus habetur	urn:cts:latinLit:stoa0162.stoa005:16.t1.30_3
urn:cite:chron:jevent.16_t1_30_3_i	, et	urn:cts:latinLit:stoa0162.stoa005:16.t1.30_3
urn:cite:chron:jevent.16_t1_30_3_i	Lesches Lesbius	urn:cts:latinLit:stoa0162.stoa005:16.t1.30_3
urn:cite:chron:jevent.16_t1_30_3_i	, qui fecit	urn:cts:latinLit:stoa0162.stoa005:16.t1.30_3
urn:cite:chron:jevent.16_t1_30_3_i	.	urn:cts:latinLit:stoa0162.stoa005:16.t1.30_3
urn:cite:chron:jevent.16_t1_34_3_a	Hebraeorum pontifex maximus Elchias insignis habetur.	urn:cts:latinLit:stoa0162.stoa005:16.t1.34_3
urn:cite:chron:jevent.16_t1_34_4_e	Terpander musicus insignis habetur.	urn:cts:latinLit:stoa0162.stoa005:16.t1.34_4
urn:cite:chron:jevent.16_t1_35_1_b	Thales Milesius Examii filius, primus physicus philosophus agnoscitur, quem vixisse aiunt usque ad LVIII olympiadem.	urn:cts:latinLit:stoa0162.stoa005:16.t1.35_1
urn:cite:chron:jevent.16_t1_35_2_f	Oraculo Dodonaeo primum Graecia usa est.	urn:cts:latinLit:stoa0162.stoa005:16.t1.35_2
urn:cite:chron:jevent.16_t1_35_4_g	Messena a Lacedaemoniorum societate discessit.	urn:cts:latinLit:stoa0162.stoa005:16.t1.35_4
urn:cite:chron:jevent.16_t1_36_2_h	Scythae usque ad Palaestinam penetraverunt.	urn:cts:latinLit:stoa0162.stoa005:16.t1.36_2
urn:cite:chron:jevent.16_t1_36_4_c	Hieremias prophetare orsus.	urn:cts:latinLit:stoa0162.stoa005:16.t1.36_4
urn:cite:chron:jevent.16_t1_36_4_i	Myrtheus atheniensis poeta cognoscitur.	urn:cts:latinLit:stoa0162.stoa005:16.t1.36_4
urn:cite:chron:jevent.16_t1_37_1_k	Battus condidit Cyrenem.	urn:cts:latinLit:stoa0162.stoa005:16.t1.37_1
urn:cite:chron:jevent.16_t1_37_3_l	Sinope condita.	urn:cts:latinLit:stoa0162.stoa005:16.t1.37_3
urn:cite:chron:jevent.16_t1_37_3_m	Lipara condita.	urn:cts:latinLit:stoa0162.stoa005:16.t1.37_3
urn:cite:chron:jevent.16_t1_37_4_d	Olda mulier apud Hebraeos prophetabat.	urn:cts:latinLit:stoa0162.stoa005:16.t1.37_4
urn:cite:chron:jevent.16_t1_38_1_n	Apud Corinthios tyrannidem exercuit Periander.	urn:cts:latinLit:stoa0162.stoa005:16.t1.38_1
urn:cite:chron:jevent.16_t1_38_2_d	Prusias condita.	urn:cts:latinLit:stoa0162.stoa005:16.t1.38_2
urn:cite:chron:jevent.16_t1_38_2_e	Epidamnus condita, quae postea est vocata Dyrrachium.	urn:cts:latinLit:stoa0162.stoa005:16.t1.38_2
urn:cite:chron:jevent.16_t1_38_4_a	Prophetabant Sophonias, Hieremias.	urn:cts:latinLit:stoa0162.stoa005:16.t1.38_4
urn:cite:chron:jevent.16_t1_38_4_f	Phalaridis tyrannis destructa.	urn:cts:latinLit:stoa0162.stoa005:16.t1.38_4
urn:cite:chron:jevent.16_t1_39_1_g	Draco legum lator, ut quibusdam videtur, agnoscitur.	urn:cts:latinLit:stoa0162.stoa005:16.t1.39_1
urn:cite:chron:jevent.16_t1_39_3_b	Ancus Martius Numae ex filia nepos Aventinum montem, et Janiculum Urbi addidit, et supra mare XVI ab Urbe milliario Ostiam condidit: ad extremum morbo periit.	urn:cts:latinLit:stoa0162.stoa005:16.t1.39_3
urn:cite:chron:jevent.16_t1_39_3_h	Cyaxares adversum Assyrios dimicans Ninum civitatem capit.	urn:cts:latinLit:stoa0162.stoa005:16.t1.39_3
urn:cite:chron:jevent.16_t1_40_2_i	Tarquinius Priscus Capitolium exstruxit.	urn:cts:latinLit:stoa0162.stoa005:16.t1.40_2
urn:cite:chron:jevent.16_t1_40_3_k	Arion Methymnaeus clarus habetur, qui a Delphino in [portum] Taenarum dicitur transportatus.	urn:cts:latinLit:stoa0162.stoa005:16.t1.40_3
urn:cite:chron:jevent.16_t1_41_1_c	Josias rex Judaeorum cum Nechaone Aegyptiorum rege congressus occiditur, ac mihi miraculum subit, quomodo in praesens tempus sibi uterque convenerit, maxime cum Scriptura divina hunc eumdem Pharaonem 'Nechaonem' appellet.	urn:cts:latinLit:stoa0162.stoa005:16.t1.41_1
