Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-argives.ruler1,Inachus,1,"His temporibus I apud Argos regnavit INACHUS, annis L."
urn:cite:chron:j-argives.ruler2,Phoroneus,2,"Argis II, PHORONEUS, annis LX."
urn:cite:chron:j-argives.ruler3,Apis,3,"Argivorum III, APIS, annis XXXV"
urn:cite:chron:j-argives.ruler4,Argus,4,"Argis IV, ARGUS, annis LXX."
urn:cite:chron:j-argives.ruler5,Criassus,5,"Argis V, CRIASSUS, annis LIV"
urn:cite:chron:j-argives.ruler6,Phorbas,6,"Argis VI, PHORBAS, annis XXXV."
urn:cite:chron:j-argives.ruler7,Triopas,7,"Argis VII, TRIOPAS annis XLVI"
urn:cite:chron:j-argives.ruler8,Crotopus,8,"Oris Pastoris filius, septimus ab Inacho. Argis VIII, CROTOPUS, annis XXI."
urn:cite:chron:j-argives.ruler9,Sthenelus,9,"Argis IX, STENELUS, annis XI."
urn:cite:chron:j-argives.ruler10,Danaus,10,"Argis X, DANAUS, annis L."
urn:cite:chron:j-argives.ruler11,Lynceus,11,"Argis XI, LYNCEUS, annis XLI."
urn:cite:chron:j-argives.ruler12,Abas,12,"Argivorum XII, ABAS, annis XXIII."
urn:cite:chron:j-argives.ruler13,Proetus,13,"Argis XIII, PROETUS, annis XVII."
urn:cite:chron:j-argives.ruler14,Acrisius,14,"Post quem XIV, ACRISIUS, annis XXXI."
