Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-persians.ruler1,Cyrus,1,"Persarum I, CYRUS, annis XXX."
urn:cite:chron:j-persians.ruler2,Cambyses,2,"Persarum II, CAMBYSES, annis VIII"
urn:cite:chron:j-persians.ruler3,Darius,3,"Persarum III, duo fratres magi, menses VII, post quos (IV,) DARIUS, annis XXXVI"
urn:cite:chron:j-persians.ruler4,Xerxes,4,"Persarum V, XERXES, filius Darii, annis XX."
urn:cite:chron:j-persians.ruler5,Artaxerxes Longimanus,5,"Persarum VI, ARTABANUS, menses VII, [qui menses in ordine annus reputantur]. Post quem ARTAXERXES VII, qui Longimanus cognominabatur, annis XL."
urn:cite:chron:j-persians.ruler6,Darius Nothus,6,"Persarum VIII, secundus XERXES, menses II. Post quem IX SOGDIANUS, menses VII. Cui succedit X DARIUS, cognomento Nothus, annis XIX."
urn:cite:chron:j-persians.ruler7,Artaxerxes Mnemon,7,"Persarum XI, ARTAXERXES, qui cognominatus est Mnemon, Darii et Parysatidis filius, annis XL."
urn:cite:chron:j-persians.ruler8,Artaxerxes Ochus,8,"Persarum XII, ARTAXERXES, qui et OCHUS, annis XXVI"
urn:cite:chron:j-persians.ruler9,Arses,9,"Persarum XIII, ARSES, Ochi filius, annis IV."
urn:cite:chron:j-persians.ruler10,Darius,10,"Post quem DARIUS, XIV, Arsami filius, annis VI."
