Record,Ruler
urn:cite:chron:acephalus.1,urn:cite:chron:j-macedonians.ruler20
urn:cite:chron:acephalus.2,urn:cite:chron:j-macedonians.ruler21
urn:cite:chron:acephalus.3,urn:cite:chron:j-alexandrians.ruler1
urn:cite:chron:acephalus.4,urn:cite:chron:j-alexandrians.ruler2
urn:cite:chron:acephalus.5,urn:cite:chron:j-alexandrians.ruler3
urn:cite:chron:acephalus.6,urn:cite:chron:j-alexandrians.ruler4
urn:cite:chron:acephalus.7,urn:cite:chron:j-alexandrians.ruler5
urn:cite:chron:acephalus.8,urn:cite:chron:j-alexandrians.ruler6
urn:cite:chron:acephalus.9,urn:cite:chron:j-alexandrians.ruler7
urn:cite:chron:acephalus.10,urn:cite:chron:j-alexandrians.ruler8
urn:cite:chron:acephalus.11,urn:cite:chron:j-alexandrians.ruler11
urn:cite:chron:acephalus.12,urn:cite:chron:j-alexandrians.ruler12
urn:cite:chron:acephalus.13,urn:cite:chron:j-romans.ruler2
urn:cite:chron:acephalus.14,urn:cite:chron:j-romans.ruler3
urn:cite:chron:acephalus.15,urn:cite:chron:j-romans.ruler4
urn:cite:chron:acephalus.16,urn:cite:chron:j-romans.ruler5
urn:cite:chron:acephalus.17,urn:cite:chron:j-romans.ruler6
urn:cite:chron:acephalus.18,urn:cite:chron:j-romans.ruler7
urn:cite:chron:acephalus.19,urn:cite:chron:j-romans.ruler8
urn:cite:chron:acephalus.20,urn:cite:chron:j-romans.ruler9
urn:cite:chron:acephalus.21,urn:cite:chron:j-romans.ruler10
urn:cite:chron:acephalus.22,urn:cite:chron:j-romans.ruler11
urn:cite:chron:acephalus.23,urn:cite:chron:j-romans.ruler12
urn:cite:chron:acephalus.24,urn:cite:chron:j-romans.ruler13
urn:cite:chron:acephalus.25,urn:cite:chron:j-romans.ruler14
urn:cite:chron:acephalus.26,urn:cite:chron:j-romans.ruler21
urn:cite:chron:acephalus.27,urn:cite:chron:j-romans.ruler17
urn:cite:chron:acephalus.28,urn:cite:chron:j-romans.ruler20
urn:cite:chron:acephalus.29,urn:cite:chron:j-romans.ruler22
urn:cite:chron:acephalus.30,urn:cite:chron:j-romans.ruler23
urn:cite:chron:acephalus.31,urn:cite:chron:j-romans.ruler24
urn:cite:chron:acephalus.32,urn:cite:chron:j-romans.ruler25
urn:cite:chron:acephalus.33,urn:cite:chron:j-romans.ruler26
urn:cite:chron:acephalus.34,urn:cite:chron:j-romans.ruler27
urn:cite:chron:acephalus.35,urn:cite:chron:j-romans.ruler28
urn:cite:chron:acephalus.36,urn:cite:chron:j-romans.ruler29
urn:cite:chron:acephalus.37,urn:cite:chron:j-romans.ruler31
urn:cite:chron:acephalus.38,urn:cite:chron:j-romans.ruler32
urn:cite:chron:acephalus.39,urn:cite:chron:romans.ruler33
urn:cite:chron:acephalus.40,
urn:cite:chron:acephalus.41,
urn:cite:chron:acephalus.42,
urn:cite:chron:acephalus.43,urn:cite:chron:romans.ruler37
urn:cite:chron:acephalus.44,urn:cite:chron:romans.ruler38
urn:cite:chron:acephalus.45,urn:cite:chron:romans.ruler39
urn:cite:chron:acephalus.46,urn:cite:chron:romans.ruler40
urn:cite:chron:acephalus.47,urn:cite:chron:romans.ruler41
urn:cite:chron:acephalus.48,urn:cite:chron:romans.ruler42
urn:cite:chron:acephalus.49,urn:cite:chron:romans.ruler44
urn:cite:chron:acephalus.50,urn:cite:chron:romans.ruler47
urn:cite:chron:acephalus.51,urn:cite:chron:romans.ruler49
urn:cite:chron:acephalus.52,urn:cite:chron:romans.ruler51
urn:cite:chron:acephalus.53,urn:cite:chron:romans.ruler52
urn:cite:chron:acephalus.54,urn:cite:chron:romans.ruler53
urn:cite:chron:acephalus.55,urn:cite:chron:romans.ruler54
urn:cite:chron:acephalus.56,urn:cite:chron:romans.ruler55
urn:cite:chron:acephalus.57,urn:cite:chron:romans.ruler56
urn:cite:chron:acephalus.58,urn:cite:chron:romans.ruler57
urn:cite:chron:acephalus.59,urn:cite:chron:romans.ruler58
urn:cite:chron:acephalus.60,urn:cite:chron:romans.ruler59
urn:cite:chron:acephalus.61,urn:cite:chron:romans.ruler60
urn:cite:chron:acephalus.62,urn:cite:chron:romans.ruler61
urn:cite:chron:acephalus.63,urn:cite:chron:romans.ruler62
urn:cite:chron:acephalus.64,urn:cite:chron:romans.ruler63
urn:cite:chron:acephalus.65,urn:cite:chron:romans.ruler63
urn:cite:chron:acephalus.66,urn:cite:chron:romans.ruler64
urn:cite:chron:acephalus.67,urn:cite:chron:romans.ruler65
urn:cite:chron:acephalus.68,urn:cite:chron:romans.ruler66
urn:cite:chron:acephalus.69,urn:cite:chron:romans.ruler67
urn:cite:chron:acephalus.70,urn:cite:chron:romans.ruler68
urn:cite:chron:acephalus.71,urn:cite:chron:romans.ruler69
urn:cite:chron:acephalus.72,urn:cite:chron:romans.ruler70
urn:cite:chron:acephalus.73,urn:cite:chron:romans.ruler71
urn:cite:chron:acephalus.74,urn:cite:chron:romans.ruler72
urn:cite:chron:acephalus.75,urn:cite:chron:romans.ruler73
urn:cite:chron:acephalus.76,urn:cite:chron:romans.ruler74
urn:cite:chron:acephalus.77,urn:cite:chron:romans.ruler75
urn:cite:chron:acephalus.78,urn:cite:chron:romans.ruler76
