urn:cite:chron:j-alexandrians_ruler1	Ptolemy son of Lagus
urn:cite:chron:j-alexandrians_ruler2	Ptolemy Philadelphus
urn:cite:chron:j-alexandrians_ruler3	Ptolemy Euergetes
urn:cite:chron:j-alexandrians_ruler4	Ptolemy Philopator
urn:cite:chron:j-alexandrians_ruler5	Ptolemy Epiphanes
urn:cite:chron:j-alexandrians_ruler6	Ptolemy Philopator
urn:cite:chron:j-alexandrians_ruler7	Ptolemy VII (Euergetes 2)
urn:cite:chron:j-alexandrians_ruler8	Ptolemy Physcon
urn:cite:chron:j-alexandrians_ruler9	Ptolemy IX (Alexander)
urn:cite:chron:j-alexandrians_ruler10	Ptolemy X
urn:cite:chron:j-alexandrians_ruler11	Ptolemy New Dionysus
urn:cite:chron:j-alexandrians_ruler12	Cleopatra
urn:cite:chron:j-argives_ruler1	Inachus
urn:cite:chron:j-argives_ruler2	Phoroneus
urn:cite:chron:j-argives_ruler3	Apis
urn:cite:chron:j-argives_ruler4	Argus
urn:cite:chron:j-argives_ruler5	Criassus
urn:cite:chron:j-argives_ruler6	Phorbas
urn:cite:chron:j-argives_ruler7	Triopas
urn:cite:chron:j-argives_ruler8	Crotopus
urn:cite:chron:j-argives_ruler9	Sthenelus
urn:cite:chron:j-argives_ruler10	Danaus
urn:cite:chron:j-argives_ruler11	Lynceus
urn:cite:chron:j-argives_ruler12	Abas
urn:cite:chron:j-argives_ruler13	Proetus
urn:cite:chron:j-argives_ruler14	Acrisius
urn:cite:chron:j-assyrians_ruler1	Ninus
urn:cite:chron:j-assyrians_ruler2	Semiramis
urn:cite:chron:j-assyrians_ruler3	Zameis
urn:cite:chron:j-assyrians_ruler4	Arius
urn:cite:chron:j-assyrians_ruler5	Aralius
urn:cite:chron:j-assyrians_ruler6	Xerxes (Balaneus)
urn:cite:chron:j-assyrians_ruler7	Armamitres
urn:cite:chron:j-assyrians_ruler8	Belocus
urn:cite:chron:j-assyrians_ruler9	Baleus
urn:cite:chron:j-assyrians_ruler10	Altadas
urn:cite:chron:j-assyrians_ruler11	Mamythus
urn:cite:chron:j-assyrians_ruler12	Machaleus
urn:cite:chron:j-assyrians_ruler13	Sphaerus
urn:cite:chron:j-assyrians_ruler14	Mamylus
urn:cite:chron:j-assyrians_ruler15	Sparetus
urn:cite:chron:j-assyrians_ruler16	Ascatrades
