evidence,source,synchronization,synctype,target,units
urn:cts:greekLit:tlg0003.tlg001:6.3,urn:cite:chron:colony.col1,precedes,event,urn:cite:chron:colony.col2,1
urn:cts:greekLit:tlg0003.tlg001:6.4,urn:cite:chron:colony.col7,follows,event,urn:cite:chron:colony.col6,
urn:cts:greekLit:tlg0003.tlg001:6.3,urn:cite:chron:colony.col2,precedes,event,urn:cite:chron:colony.col3,5
urn:cts:greekLit:tlg0003.tlg001:6.5,urn:cite:chron:colony.col13,follows,event,urn:cite:chron:colony.col2,75
urn:cts:greekLit:tlg0003.tlg001:6.3,urn:cite:chron:colony.col3,contemporary,event,urn:cite:chron:colony.col4,0
urn:cts:greekLit:tlg0003.tlg001:6.3,urn:cite:chron:colony.col2,precedes,event,urn:cite:chron:colony.col4,5
urn:cts:greekLit:tlg0003.tlg001:6.4,urn:cite:chron:colony.col8,follows,event,urn:cite:chron:colony.col7,100
urn:cts:greekLit:tlg0003.tlg001:6.4,urn:cite:chron:colony.col2,precedes,event,urn:cite:chron:colony.col5,5
urn:cts:greekLit:tlg0003.tlg001:6.3,urn:cite:chron:colony.col5,contemporary,event,urn:cite:chron:colony.col3,0
urn:cts:greekLit:tlg0003.tlg001:6.5,urn:cite:chron:colony.col.12,follows,event,urn:cite:chron:colony.col16,
urn:cts:greekLit:tlg0003.tlg001:6.5,urn:cite:chron:colony.col15,follows,event,urn:cite:chron:colony.col2,135
urn:cts:greekLit:tlg0003.tlg001:6.4,urn:cite:chron:colony.col6,follows,event,urn:cite:chron:colony.col5,
urn:cts:greekLit:tlg0003.tlg001:6.4,urn:cite:chron:colony.col9,follows,event,urn:cite:chron:colony.col2,45
urn:cts:greekLit:tlg0003.tlg001:6.4,urn:cite:chron:colony.col10,follows,event,urn:cite:chron:colony.col9,108
urn:cts:greekLit:tlg0003.tlg001:6.5,urn:cite:chron:colony.col14,follows,event,urn:cite:chron:colony.col13,20
