urn:cite:chron:j-alexandrians.ruler1	Ptolemy son of Lagus
urn:cite:chron:j-alexandrians.ruler2	Ptolemy Philadelphus
urn:cite:chron:j-alexandrians.ruler3	Ptolemy Euergetes
urn:cite:chron:j-alexandrians.ruler4	Ptolemy Philopator
urn:cite:chron:j-alexandrians.ruler5	Ptolemy Epiphanes
urn:cite:chron:j-alexandrians.ruler6	Ptolemy Philopator
urn:cite:chron:j-alexandrians.ruler7	Ptolemy VII (Euergetes 2)
urn:cite:chron:j-alexandrians.ruler8	Ptolemy Physcon
urn:cite:chron:j-alexandrians.ruler9	Ptolemy IX (Alexander)
urn:cite:chron:j-alexandrians.ruler10	Ptolemy X
urn:cite:chron:j-alexandrians.ruler11	Ptolemy New Dionysus
urn:cite:chron:j-alexandrians.ruler12	Cleopatra
urn:cite:chron:j-argives.ruler1	Inachus
urn:cite:chron:j-argives.ruler2	Phoroneus
urn:cite:chron:j-argives.ruler3	Apis
urn:cite:chron:j-argives.ruler4	Argus
urn:cite:chron:j-argives.ruler5	Criassus
urn:cite:chron:j-argives.ruler6	Phorbas
urn:cite:chron:j-argives.ruler7	Triopas
urn:cite:chron:j-argives.ruler8	Crotopus
urn:cite:chron:j-argives.ruler9	Sthenelus
urn:cite:chron:j-argives.ruler10	Danaus
urn:cite:chron:j-argives.ruler11	Lynceus
urn:cite:chron:j-argives.ruler12	Abas
urn:cite:chron:j-argives.ruler13	Proetus
urn:cite:chron:j-argives.ruler14	Acrisius
urn:cite:chron:j-assyrians.ruler1	Ninus
urn:cite:chron:j-assyrians.ruler2	Semiramis
urn:cite:chron:j-assyrians.ruler3	Zameis
urn:cite:chron:j-assyrians.ruler4	Arius
urn:cite:chron:j-assyrians.ruler5	Aralius
urn:cite:chron:j-assyrians.ruler6	Xerxes (Balaneus)
urn:cite:chron:j-assyrians.ruler7	Armamitres
urn:cite:chron:j-assyrians.ruler8	Belocus
urn:cite:chron:j-assyrians.ruler9	Baleus
urn:cite:chron:j-assyrians.ruler10	Altadas
urn:cite:chron:j-assyrians.ruler11	Mamythus
urn:cite:chron:j-assyrians.ruler12	Machaleus
urn:cite:chron:j-assyrians.ruler13	Sphaerus
urn:cite:chron:j-assyrians.ruler14	Mamylus
urn:cite:chron:j-assyrians.ruler15	Sparetus
urn:cite:chron:j-assyrians.ruler16	Ascatrades
